Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ae_description,safety,Safety,notes,Описание AE,,,,,,,[ae_occurred]='1',,,,,,
ae_occurred,safety,,yesno,Нежелательные явления/инциденты были,,,,,,,,,,,,,
ae_related,safety,,yesno,Связь с процедурой,,,,,,,[ae_occurred]='1',,,,,,
age_years,screening,Screening,text,Возраст,,Units: years,integer,,,,,y,,,,,
consent_level,screening,,dropdown,Уровень согласия на данные,"1, Full recording | 2, Metrics only | 3, ROI video local",,,,,,,y,,,,,
consent_signed,screening,,yesno,Информированное согласие подписано,,,,,,,,y,,,,,
diagnostic_group,screening,,dropdown,Основная категория состояния/диагноза,"1, Bph Luts | 2, Neurogenic | 3, Other | 4, Postop | 5, Stricture",,,,,,,y,,,,,
height_cm,screening,,text,Рост,,Units: cm,number,,,,,,,,,,
medications,screening,,notes,Текущая терапия (текст),,,,,,,,,,,,,
sex_at_birth,screening,,dropdown,Пол,"1, Male | 2, Female",,,,,,,y,,,,,
weight_kg,screening,,text,Вес,,Units: kg,number,,,,,,,,,,
attempt_number,test_conditions,Test Conditions,text,Номер попытки (1/2/3),,,integer,,,,,y,,,,,
comments_conditions,test_conditions,,notes,Комментарии по условиям,,,,,,,,,,,,,
environment_noise_level,test_conditions,,dropdown,Фоновый шум,"1, High | 2, Moderate | 3, None",,,,,,,y,,,,,
flush_during_recording,test_conditions,,yesno,Смыв/посторонняя вода во время записи,,,,,,,,y,,,,,
lighting_level,test_conditions,,dropdown,Освещение/блики,"1, Dim | 2, Glare | 3, Normal",,,,,,,y,,,,,
noise_source,test_conditions,,text,Источник шума (если был),,,,,,,,,,,,,
phone_on_support,test_conditions,,yesno,Телефон на опоре/штативе,,,,,,,,y,,,,,
void_into_water,test_conditions,,dropdown,Попадание 'в воду',"1, Yes | 2, No | 3, Unsure",,,,,,,y,,,,,
voiding_position,test_conditions,,dropdown,Поза при мочеиспускании,"1, Male Standing | 2, Male Sitting | 3, Female Sitting",,,,,,,y,,,,,
