timestamp_s,true_flow_ml_s,true_volume_ml,true_level_mm,depth_level_mm,rgb_level_mm,depth_confidence
3.400000,18.259231,25.853745,3.231718,4.734205,3.354754,0.210416
3.500000,18.968237,27.715119,3.464390,2.241538,3.873243,0.897351
3.600000,19.677415,29.647401,3.705925,3.287121,4.587831,0.846315
3.700000,20.386119,31.650578,3.956322,3.394930,3.747530,0.829718
3.800000,21.093711,33.724570,4.215571,4.505749,4.648434,0.833619
3.900000,21.799560,35.869233,4.483654,4.536369,4.953795,0.406115
4.000000,22.503044,38.084363,4.760545,5.101489,4.666181,0.908873
4.100000,23.203548,40.369693,5.046212,,5.336424,0.000000
4.200000,23.900465,42.724894,5.340612,5.555094,5.337263,0.989737
4.300000,24.593198,45.149577,5.643697,6.027133,5.412447,0.969747
4.400000,25.281156,47.643294,5.955412,9.554119,5.914552,0.350000
4.500000,25.963756,50.205540,6.275693,6.456746,6.405211,0.979618
4.600000,26.640425,52.835749,6.604469,6.529467,6.373176,0.922821
4.700000,27.310598,55.533300,6.941663,7.079100,6.814869,0.973907
4.800000,27.973719,58.297516,7.287190,6.449594,7.080183,0.358448
4.900000,28.629239,61.127664,7.640958,8.655531,7.971174,0.821644
5.000000,29.276622,64.022957,8.002870,8.174448,8.149428,0.919027
5.100000,0.000000,65.486788,8.185849,8.489921,8.043254,0.966319
5.200000,0.000000,65.486788,8.185849,7.548773,8.456267,0.970303
5.300000,0.000000,65.486788,8.185849,11.409064,7.515147,0.350000
5.400000,0.000000,65.486788,8.185849,8.845076,7.704330,0.956380
5.500000,0.000000,65.486788,8.185849,8.923903,7.993161,0.398867
5.600000,0.000000,65.486788,8.185849,8.202737,8.261690,0.955209
5.700000,0.000000,65.486788,8.185849,8.042490,8.678791,0.984371
5.800000,0.000000,65.486788,8.185849,9.278422,8.801474,0.979670
5.900000,0.000000,65.486788,8.185849,7.371671,8.411744,0.838428
6.000000,0.000000,65.486788,8.185849,,8.061625,0.000000
6.100000,0.000000,65.486788,8.185849,8.013032,7.620355,0.911537
6.200000,0.000000,65.486788,8.185849,7.494265,8.451901,0.315695
6.300000,0.000000,65.486788,8.185849,7.717673,8.379168,0.872578
6.400000,0.000000,65.486788,8.185849,7.662178,7.507576,0.979862
6.500000,0.000000,65.486788,8.185849,8.051824,8.546954,0.820069
6.600000,0.000000,65.486788,8.185849,8.326639,8.571848,0.895167
6.700000,38.563740,67.414975,8.426872,6.101818,8.378838,0.083918
6.800000,38.984216,71.292373,8.911547,6.169702,9.141838,0.350000
6.900000,39.388335,75.211000,9.401375,8.735405,9.654022,0.832381
7.000000,39.775783,79.169206,9.896151,9.863870,9.865487,0.861477
7.100000,40.146262,83.165309,10.395664,,11.183015,0.000000
7.200000,40.499485,87.197596,10.899700,9.947529,11.069718,0.964217
7.300000,40.835181,91.264329,11.408041,11.996005,11.104115,0.981507
7.400000,41.153092,95.363743,11.920468,12.645177,11.572881,0.913138
7.500000,41.452973,99.494046,12.436756,12.502980,12.014014,0.928402
7.600000,41.734594,103.653425,12.956678,12.759683,13.261041,0.164291
7.700000,41.997740,107.840041,13.480005,13.425812,13.357226,0.937971
7.800000,42.242208,112.052039,14.006505,12.960619,14.371620,0.855162
7.900000,42.467812,116.287540,14.535942,14.492242,14.561932,0.950151
8.000000,42.674379,120.544649,15.068081,14.271136,15.350962,0.982083
8.100000,42.861751,124.821456,15.602682,15.479893,15.636009,0.857302
8.200000,43.029785,129.116032,16.139504,,16.176717,0.000000
8.300000,43.178354,133.426439,16.678305,17.456028,16.763407,0.915947
8.400000,43.307343,137.750724,17.218841,17.569065,17.521243,0.201642
8.500000,43.416655,142.086924,17.760866,20.557620,17.905546,0.350000
8.600000,43.506205,146.433067,18.304133,18.459901,17.805523,0.930524
8.700000,43.575926,150.787174,18.848397,19.341773,18.997073,0.058152
8.800000,43.625765,155.147258,19.393407,19.499386,19.182472,0.329786
8.900000,43.655683,159.511331,19.938916,17.908850,19.902109,0.350000
9.000000,43.665659,163.877398,20.484675,20.436992,20.348866,0.887431
9.100000,43.655683,168.243465,21.030433,22.347408,20.647416,0.358992
9.200000,43.625765,172.607537,21.575942,21.099406,21.722434,0.879025
9.300000,43.575926,176.967622,22.120953,23.224104,22.669301,0.959796
9.400000,43.506205,181.321728,22.665216,22.520170,21.761801,0.894033
9.500000,43.416655,185.667871,23.208484,22.389199,23.431867,0.902195
9.600000,43.307343,190.004071,23.750509,24.053159,23.573329,0.834733
9.700000,43.178354,194.328356,24.291045,24.497546,24.112433,0.824879
9.800000,43.029785,198.638763,24.829845,27.496304,24.561526,0.350000
9.900000,42.861751,202.933340,25.366667,25.409867,24.831255,0.903058
10.000000,42.674379,207.210146,25.901268,26.051066,26.429728,0.835819
10.100000,42.467812,211.467256,26.433407,25.620870,26.694808,0.910257
10.200000,42.242208,215.702757,26.962845,27.224073,27.120245,0.862739
10.300000,41.997740,219.914754,27.489344,27.622023,27.883133,0.851475
10.400000,41.734594,224.101371,28.012671,28.304301,28.148445,0.868110
10.500000,41.452973,228.260749,28.532594,27.853232,29.468646,0.263654
10.600000,41.153092,232.391052,29.048882,25.704139,29.089588,0.397384
10.700000,40.835181,236.490466,29.561308,30.802498,29.825520,0.851342
10.800000,40.499485,240.557200,30.069650,29.944203,29.985231,0.832594
10.900000,40.146262,244.589487,30.573686,31.261658,30.976864,0.988966
11.000000,39.775783,248.585589,31.073199,30.506959,31.188992,0.908837
11.100000,39.388335,252.543795,31.567974,30.870963,31.202765,0.925575
11.200000,0.000000,254.513212,31.814151,,31.994593,0.000000
11.300000,0.000000,254.513212,31.814151,31.711842,32.059642,0.920948
11.400000,0.000000,254.513212,31.814151,32.674051,31.530602,0.936855
11.500000,0.000000,254.513212,31.814151,31.050690,31.674450,0.892274
11.600000,0.000000,254.513212,31.814151,30.842660,32.358354,0.116369
11.700000,0.000000,254.513212,31.814151,30.588628,31.018610,0.325471
11.800000,0.000000,254.513212,31.814151,30.489361,31.942038,0.065944
11.900000,0.000000,254.513212,31.814151,30.612223,31.423228,0.962113
12.000000,0.000000,254.513212,31.814151,31.838575,31.419772,0.826839
12.100000,0.000000,254.513212,31.814151,30.542759,31.509082,0.284132
12.200000,0.000000,254.513212,31.814151,32.122363,31.570069,0.933923
12.300000,0.000000,254.513212,31.814151,31.238092,31.694795,0.958306
12.400000,0.000000,254.513212,31.814151,30.183394,31.718710,0.888710
12.500000,0.000000,254.513212,31.814151,31.216994,32.263186,0.851889
12.600000,0.000000,254.513212,31.814151,33.406008,31.649185,0.269688
12.700000,0.000000,254.513212,31.814151,31.835854,32.019220,0.923508
12.800000,0.000000,254.513212,31.814151,33.381918,31.611594,0.446903
12.900000,0.000000,254.513212,31.814151,31.375238,31.798565,0.941823
13.000000,29.276622,255.977043,31.997130,31.072887,32.525019,0.913715
13.100000,28.629239,258.872336,32.359042,32.500687,32.008035,0.866962
13.200000,27.973719,261.702484,32.712810,32.493123,33.156741,0.868083
13.300000,27.310598,264.466700,33.058337,31.881830,33.424943,0.265432
13.400000,26.640425,267.164251,33.395531,33.163491,32.964260,0.852071
13.500000,25.963756,269.794460,33.724307,32.887619,33.110138,0.347882
13.600000,25.281156,272.356706,34.044588,33.893584,34.047409,0.986739
13.700000,24.593198,274.850423,34.356303,33.731008,34.512964,0.968612
13.800000,23.900465,277.275106,34.659388,35.009534,34.984444,0.931313
13.900000,23.203548,279.630307,34.953788,35.595723,34.404449,0.930472
14.000000,22.503044,281.915637,35.239455,32.505344,34.530491,0.350000
14.100000,21.799560,284.130767,35.516346,35.504425,35.143017,0.989562
14.200000,21.093711,286.275430,35.784429,38.174595,35.074041,0.350000
14.300000,20.386119,288.349422,36.043678,35.346695,35.955696,0.844747
14.400000,19.677415,290.352599,36.294075,35.399673,36.116563,0.398336
14.500000,18.968237,292.284881,36.535610,36.533081,36.583680,0.863176
14.600000,18.259231,294.146255,36.768282,36.295381,36.883664,0.846856
14.700000,17.551052,295.936769,36.992096,37.198746,36.799386,0.862517
14.800000,16.844362,297.656540,37.207067,35.669094,36.709845,0.917227
14.900000,16.139832,299.305749,37.413219,,37.198856,0.000000
15.000000,15.438142,300.884648,37.610581,37.982765,37.447777,0.904444
15.100000,14.739979,302.393554,37.799194,37.198983,37.436471,0.928225
15.200000,14.046042,303.832855,37.979107,38.630479,37.691287,0.926802
15.300000,13.357038,305.203009,38.150376,38.538539,38.307426,0.944501
15.400000,12.673686,306.504545,38.313068,40.310604,38.236342,0.265763
15.500000,11.996717,307.738065,38.467258,37.476908,38.539451,0.960197
15.600000,11.326871,308.904245,38.613031,41.338340,39.318635,0.435157
15.700000,10.664906,310.003834,38.750479,,38.435926,0.000000
15.800000,10.011592,311.037659,38.879707,38.496749,38.417131,0.897314
15.900000,9.367717,312.006624,39.000828,39.013393,39.079219,0.838419
16.000000,8.734088,312.911714,39.113964,40.059131,39.366282,0.857632
16.100000,8.111532,313.753995,39.219249,39.661377,39.120468,0.843762
16.200000,7.500903,314.534617,39.316827,38.531813,39.466589,0.843063
16.300000,6.903082,315.254816,39.406852,39.728328,39.705943,0.946186
16.400000,6.318982,315.915920,39.489490,40.007537,39.558228,0.981759
16.500000,5.749557,316.519346,39.564918,39.293709,39.161368,0.836890
16.600000,5.195804,317.066614,39.633327,40.401621,40.105095,0.852267
16.700000,4.658779,317.559344,39.694918,40.653193,39.777245,0.921515
16.800000,4.139600,317.999263,39.749908,39.785544,39.512510,0.831664
16.900000,3.639471,318.388216,39.798527,39.832140,39.783095,0.845084
17.000000,3.159696,318.728175,39.841022,38.149755,40.299017,0.150262
17.100000,2.701710,319.021245,39.877656,39.960339,39.979723,0.875041
17.200000,2.267112,319.269686,39.908711,40.024294,39.495207,0.900962
17.300000,1.857726,319.475928,39.934491,40.163457,39.246742,0.827372
17.400000,1.475679,319.642598,39.955325,39.402789,40.002031,0.830340
17.500000,1.123528,319.772558,39.971570,40.629636,40.204506,0.832493
17.600000,0.804483,319.868959,39.983620,39.174483,40.991274,0.913221
17.700000,0.522806,319.935323,39.991915,39.670688,39.337995,0.836860
17.800000,0.284688,319.975698,39.996962,39.619013,40.072520,0.856554
17.900000,0.100675,319.994966,39.999371,39.270458,40.229276,0.836165
18.000000,0.000000,320.000000,40.000000,40.119592,39.865146,0.831413
